Subject Id,Subject Title,Subject Level,Prerequisites,Corequisites,Joint Subjects,Equivalent Subjects,Meets With Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Instructors,Comm Req Attribute,Hass Attribute,Gir Attribute
"1.070B","Introduction to Hydrology Modeling","U","1.070A",,"12.320B[J]",,,,Y,,,,"D. Entekhabi",,,
"1.071","Global Change Science","U","18.03",,"12.300[J]",,,"2017-2018",Y,,,,,,,
"1.072","Groundwater Hydrology","U","1.061",,,,"1.72",,Y,,,,"C. Harvey",,,
"1.073","Introduction to Environmental Data Analysis","U","1.010",,,,,,,,Y,,"E. Eltahir",,,
"1.074","Multivariate Data Analysis","U","1.010",,,,,,,,Y,,"M. Ben-Akiva",,,
"1.075","Water Resource Systems","U","1.070B,permission of instructor",,,,"1.731",,Y,,,,"D. Mc Laughlin",,,
"1.078","Introduction to Soil Science","U","",,,,"1.78","2017-2018",Y,,,,,,,
"1.079","Rock-on-a-Chip: Microfluidic Technology for Visualization of Flow in Porous Media","U","Physics II GIR;1.050;1.060B;1.000,1.00,6.00;permission of instructor",,,,,"2017-2018",,,Y,,,,,
"1.080A","Environmental Chemistry I","U","Chemistry GIR",,,,,,,,Y,,"P. Gschwend",,,
"1.080B","Environmental Chemistry II","U","1.080A",,,,,,,,Y,,"P. Gschwend",,,
"1.081","Environmental Cancer Risks, Prevention, and Therapy","U","Calculus II GIR;Biology GIR;Chemistry GIR",,"20.104[J]",,,,,,Y,,"W. Thilly",,,
"1.082","Ethics for Engineers","U","",,,,"6.9041",,Y,,Y,,"Fall:  B. Trout\nSpring:  B. Trout",,,
"1.084","Systems Microbiology","U","Chemistry GIR;Biology GIR",,"20.106[J]",,,"2017-2018",Y,,,,,,,
"1.085","Air Pollution","U","18.03",,"12.336[J]",,,,Y,,,,"C. Heald",,,
"1.087","Fundamentals of Network and Community Ecology","U","18.06",,,,"1.873",,,,Y,,"S. Saavedra Sanchez",,,
"1.089","Environmental Microbiology","U","Biology GIR",,,,"1.89",,,,Y,,"M. Polz",,,
"1.089A","Environmental Microbiology I","U","Biology GIR,permission of instructor",,,,,,,,Y,,"M. Polz",,,
"1.091","Traveling Research Environmental eXperience (TREX):  Fieldwork","U","Permission of instructor",,,,,,,Y,,,"B. Kocar",,,
"1.092","Traveling Research Environmental  eXperience (TREX): Fieldwork Analysis and Communication","U","1.091",,,,,,,,Y,,"B. Kocar",,,
"1.097","Introduction to Civil and Environmental Engineering Research","U","",,,,,,,Y,,,,,,
"1.101","Introduction to Civil and Environmental Engineering Design I",,"",,,,,,,,,,"T. Cohen",,,
"1.102","Introduction to Civil and Environmental Engineering Design II","U","Physics II GIR;","1.060B;permission of instructor",,,,,,,Y,,"A. Masic",,,"LAB2"
"1.106","Environmental Fluid Transport Processes and Hydrology Laboratory","U","","1.061A;1.070A",,,,,Y,,,,"H. Nepf",,,"LAB2"
"1.107","Environmental Chemistry and Biology Laboratory","U","1.018A,permission of instructor","1.080A",,,,,,,Y,,"J. Kroll",,,"LAB2"
"1.124","Software and Computation for Simulation","G","1.00,permission of instructor",,"2.091[J]",,,,Y,,,,,,,
"1.125","Architecting & Engineering Software Systems","G","1.00,1.124J,permission of instructor",,,,,,Y,,,,"J. Williams",,,
"1.126","Pattern Recognition and Analysis","G","Permission of instructor",,"MAS.622[J]",,,,Y,,,,,,,
"1.128","Computational Geometry","G","Permission of instructor",,"2.089[J]",,,,,,Y,,,,,
"1.138","Wave Propagation","G","2.003;18.075",,"2.062[J],18.376[J]",,,"2017-2018",,,Y,,,,,
"1.142","Robust Modeling, Optimization, and Computation","G","18.06,permission of instructor",,"15.094[J]",,,"2017-2018",,,Y,,,,,
"1.146","Engineering Systems Analysis for Design","G","Permission of instructor",,,"IDS.333",,,Y,,,,"R. De Neufville",,,
"1.151","Probability and Statistics in Engineering","G","Permission of instructor",,,,,,,,Y,,"D. Veneziano",,,
"1.153","Transportation Policy, the Environment, and Livable Communities","U","1.011",,,,"1.253[J],11.543[J]",,,,Y,,"J. Coughlin",,,
"1.200","Transportation Systems Analysis: Performance and Optimization",,"1.010;permission of instructor",,"11.544[J]",,,,,,,,"C. Osorio Pizano",,,
"1.201","Transportation Systems Analysis: Demand and Economics","G","Permission of instructor",,"11.545[J]",,,,Y,,,,"M. Ben-Akiva",,,
"1.202","Demand Modeling","G","1.201,permission of instructor",,,,,,,,Y,,"M. Ben-Akiva",,,
"1.203","Applied Probability and Stochastic Models","G","6.041B",,"15.073[J],IDS.700[J]",,,,Y,,,,"A. Barnett",,,
"1.204","Computer Modeling: From Human Mobility to Transportation Networks","G","1.001;1.010;permission of instructor",,,,,,,,Y,,,,,
"1.205","Advanced Demand Modeling","G","1.202,permission of instructor",,,,,"2017-2018",Y,,,,,,,
"1.207","Computer Algorithms in Systems Engineering","G","1.001,permission of instructor",,,,,,,,Y,,,,,
"1.208","Resilient Infrastructure  Networks","G","1.151,6.431B;15.093",,,,,,Y,,,,"S. Amin",,,
"1.231","Planning and Design of Airport Systems","G","Permission of instructor",,"16.781[J],IDS.670[J]",,,"2017-2018",Y,,,,,,,
"1.232","The Airline Industry","G","",,"15.054[J],16.71[J]",,,,Y,,,,"P. Belobaba",,,
"1.233","Air Transportation Operations Research","G","16.71,6.431B,15.093,permission of instructor",,"16.763[J]",,,"2018-2019",,,Y,,"H. Balakrishnan, P. Belobaba",,,
"1.234","Airline Management","G","16.71J",,"16.75[J]",,,"2017-2018",,,Y,,"P. P. Belobaba",,,
"1.251","Comparative Land Use and Transportation Planning","G","Permission of Instructor",,"11.526[J]",,,,,,Y,,,,,
"1.252","Urban Transportation Planning","G","Permission of instructor",,"11.540[J]",,,,Y,,,,,,,
"1.253","Transportation Policy, the Environment, and Livable Communities","G","Permission of instructor",,"11.543[J]",,"1.153",,,,Y,,"J. Coughlin",,,
"1.254","Transport Modeling Course","G","Permission of instructor",,,,,,,,Y,,,,,
"1.258","Public Transportation Systems","G","1.201,permission of instructor",,"11.541[J]",,,,,,Y,,,,,
"1.260","Logistics Systems","G","Permission of instructor",,"15.770[J],IDS.730[J],SCM.260[J]",,,,Y,,,,"C. Caplice",,,
"1.261","Case Studies in Logistics and Supply Chain Management","G","Permission of instructor",,"15.771[J],SCM.261[J]",,,,,,Y,,"J. Byrnes",,,
"1.265","Global Supply Chain Management","G","1.260,1.261,15.761,15.778,permission of instructor",,"2.965[J],15.765[J],SCM.265[J]",,,,,,Y,,"B. Arntzen",,,
"1.27","Studies in Transportation","G","Permission of instructor",,,,,,Y,,Y,Y,"Fall:  N. Wilson\nSpring:  N. Wilson",,,
"1.271","The Theory of Operations Management","G","15.081J,6.251J,6.436J;permission of instructor",,"15.764[J],IDS.250[J]",,,,,,Y,,"Y. Zheng",,,
"1.273","Supply Chain Planning","G","1.260,15.761",,"15.762[J],IDS.735[J]",,,,,,Y,,"S. Willems",,,
"1.274","Manufacturing System and Supply Chain Design","G","1.260,15.761,15.778",,"15.763[J],IDS.736[J]",,,,,,Y,,"S. Willems",,,
"1.275","Business and Operations Analytics","G","Permission of instructor",,"IDS.305[J]",,,"2017-2018",,,Y,,,,,
"1.284","Analyzing and Accounting for Regional Economic Change","G","14.03;14.04",,"11.481[J]",,,,,,Y,,,,,
"1.285","Regional Socioeconomic Impact Analyses and Modeling","G","11.481J,permission of instructor",,"11.482[J]",,,,Y,,,,,,,
"1.286","Urban Energy Systems and Policy","G","11.203,14.01,permission of instructor",,"11.477[J]",,"11.165",,Y,,,,"Y. Hsu",,,
"1.322","Soil Behavior","G","1.361",,,,,"2018-2019",,,Y,,"A. Whittle",,,
"1.331","Advanced Soil Dynamics","G","Permission of instructor",,,,,,,,Y,,,,,
"1.351","Theoretical Soil Mechanics","G","1.361",,,,,"2017-2018",,,Y,,,,,
"1.361","Advanced Soil Mechanics","G","1.036",,,,"1.032",,Y,,,,,,,
"1.364","Advanced Geotechnical Engineering","G","1.361",,,,,,Y,,,,"A. Whittle",,,
"1.37","Geotechnical Measurements and Exploration","G","1.035",,,,,,Y,,,,,,,
"1.38","Engineering Geology","G","Permission of instructor",,,,,,Y,,,,"H. Einstein",,,
"1.381","Rock Mechanics","G","1.38;1.361",,,,,"2017-2018",,,Y,,,,,
"1.383","Underground Construction","G","1.361,1.38,permission of instructor",,,,,"2018-2019",,,Y,,"H. Einstein",,,
"1.39","Independent Study in Geotechnical Engineering","G","Permission of instructor",,,,,,Y,,Y,Y,"Fall:  A. Whittle\nSpring:  A. Whittle",,,
"1.462","Entrepreneurship in Construction and Real Estate Development","G","Permission of instructor",,"11.345[J]",,,,Y,,,,"J. Kennedy",,,
"1.472","Innovative Project Delivery in the Public and Private Sectors","G","Permission of instructor",,"11.344[J]",,,,,,Y,,"C. Gordon",,,
"1.541","Mechanics and Design of Concrete Structures","G","1.035",,,,"1.054",,Y,,,,,,,
"1.545","Atomistic Modeling and Simulation of Materials and Structures","G","Permission of instructor",,,,,,Y,,,,,,,
"1.562","Structural Design Project I","G","",,,,,,Y,,,,"G. Herning",,,
"1.563","Structural Design Project II","G","",,,,,,,,Y,,"G. Herning",,,
"1.57","Mechanics of Materials: An Energy Approach","G","1.050,permission of instructor",,,,,,Y,,,,,,,
"1.570","Micromechanics and Durability of Solids","G","1.050;1.57;permission of instructor",,,,,,,,Y,,,,,
"1.571","Modeling and Analysis of Structures","G","Permission of instructor",,,,,,,,Y,,"G. Herning",,,
"1.572","Structural Systems","G","Permission of instructor",,,,,,,,Y,,,,,
"1.573","Structural Mechanics","G","2.002",,"2.080[J]",,,,Y,,,,"H. Schmidt",,,
"1.575","Computational Structural Design and Optimization","G","Permission of instructor",,"4.450[J]",,,"2017-2018",Y,,,,,,,
"1.581","Structural Dynamics","G","18.03,permission of instructor",,"2.060[J],16.221[J]",,"1.058",,Y,,,,"T. Cohen",,,
"1.582","Design of Steel Structures","G","Permission of instructor",,,,,"2017-2018",Y,,,,,,,
"1.589","Studies in Structural Design and Analysis","G","Permission of instructor",,,,,,Y,,Y,Y,"Fall:  O. Buyukozturk\nSpring:  O. Buyukozturk",,,
"1.61","Transport Processes in the Environment","G","1.060B",,,,"1.061",,Y,,,,,,,
"1.63","Advanced Fluid Dynamics","G","18.085;2.25,permission of instructor.",,"2.26[J]",,,"2017-2018",,,Y,,,,,
"1.631","Fluid Dynamics and Disease","G","",,"2.250[J],HST.537[J]",,,,,,Y,,"L. Bourouiba",,,
"1.64","Physical Limnology","G","1.061",,,,"1.064","2018-2019",,,Y,,,,,
"1.66","Problems in Water Resources and Environmental Engineering","G","Permission of instructor",,,,,,Y,,Y,Y,"Fall:  D. Entekhabi\nSpring:  D. Entekhabi",,,
"1.67","Sediment Transport and Coastal Processes","G","1.061",,,,,,,,Y,,,,,
"1.685","Nonlinear Dynamics and Waves","G","Permission of instructor",,"2.034[J],18.377[J]",,,"2018-2019",,,Y,,"R. R. Rosales",,,
"1.686","Nonlinear Dynamics and Turbulence","G","1.060A",,"2.033[J],18.358[J]",,"1.068","2017-2018",,,Y,,,,,
"1.69","Introduction to Coastal Engineering","G","1.061",,,,,,Y,,,,"J. Trowbridge",,,
"1.692","Ocean Wave Interaction with Ships and Offshore Energy Systems","G","2.20;18.085",,"2.24[J]",,,"2017-2018",,,Y,,,,,
"1.699","Projects in Oceanographic Engineering","G","Permission of instructor",,"2.689[J]",,,,Y,,Y,Y,"Fall:  J. Westwater\nSpring:  J. Westwater",,,
"1.714","Surface Hydrology","G","1.070B,permission of instructor",,,,,"2018-2019",Y,,,,"E. Eltahir",,,
"1.72","Groundwater Hydrology","G","1.061",,,,"1.072",,Y,,,,,,,
"1.721","Advanced Subsurface Hydrology","G","1.72;18.075;permission of instructor",,,,,,,,Y,,,,,
"1.723","Computational Methods for Flow in Porous Media","G","Permission of instructor",,,,,"2017-2018",Y,,,,,,,
"1.731","Water Resource Systems","G","1.070B,permission of instructor",,,,"1.075",,Y,,,,,,,
"1.74","Land, Water, Food, and Climate","G","",,,,,,,,Y,,"D. Mc Laughlin",,,
"1.76","Aquatic Chemistry","G","Chemistry GIR,5.60",,,,,,Y,,,,"B. Kocar",,,
"1.77","Water Quality Control","G","1.060B",,,,,,,,Y,,"E. Adams",,,
"1.78","Introduction to Soil Science","G","",,,,"1.078","2017-2018",Y,,,,,,,
"1.801","Environmental Law, Policy, and Economics: Pollution Prevention and Control","U","",,"11.021[J],17.393[J],IDS.060[J]",,"1.811[J],11.630[J],15.663[J],IDS.540[J]",,Y,,,,"N. Ashford",,"HASS-S",
"1.802","Regulation of Chemicals, Radiation, and Biotechnology","U","1.801,permission of instructor",,"11.022[J],IDS.061[J]",,,,,,Y,,,,,
"1.811","Environmental Law, Policy, and Economics: Pollution Prevention and Control","G","",,"11.630[J],15.663[J],IDS.540[J]",,"1.801[J],11.021[J],17.393[J],IDS.060[J]",,Y,,,,"N. Ashford",,,
"1.812","Regulation of Chemicals, Radiation, and Biotechnology","G","1.811,permission of instructor",,"11.631[J],IDS.541[J]",,,,,,Y,,,,,
"1.813","Technology, Globalization, and Sustainable Development","G","Permission of instructor",,"11.466[J],15.657[J],IDS.437[J]",,,,Y,,,,"N. Ashford",,,
"1.818","Sustainable Energy","G","Permission of instructor",,"2.65[J],10.391[J],11.371[J],22.811[J]",,"2.650[J],10.291[J],22.081[J]",,Y,,,,"M. Golay",,,
"1.83","Environmental Organic Chemistry","G","5.60;18.03",,,,"1.831",,Y,,,,"P. Gschwend",,,
"1.831","Environmental Organic Chemistry","G","5.60;18.03",,,,"1.83",,Y,,,,,,,
"1.84","Atmospheric Chemistry","G","5.60",,"10.817[J],12.807[J]",,,,Y,,,,"J. Kroll",,,
"1.841","Atmospheric Composition in the Changing Earth System","G","1.84",,"12.817[J]",,,"2018-2019",,,Y,,"C. Heald",,,
"1.842","Aerosol and Cloud Microphysics and Chemistry","G","Permission of instructor",,"12.814[J]",,"12.338",,,,Y,,"D. Cziczo",,,
"1.851","Water, Sanitation, Hygiene and Environmental Sanitation (WASH-ENV) in Low- and Middle-income Countries","G","",,"11.479[J]",,,,,,Y,,,,,
"1.86","Methods and Problems in Microbiology","G","",,"7.492[J],20.445[J]",,,,Y,,,,"M. Laub",,,
"1.87","Microbial Genetics and Evolution","G","7.03,7.05,permission of instructor",,"7.493[J],12.493[J],20.446[J]",,,,Y,,,,"A. D. Grossman, E. Alm",,,
"1.871","Computational Ecology","G","",,,,,,Y,,,,"O. Cordero Sanchez",,,
"1.873","Fundamentals of Network and Community Ecology","G","18.06",,,,"1.087",,,,Y,,,,,
"1.89","Environmental Microbiology","G","Biology GIR",,,,"1.089",,,,Y,,,,,
"1.899","Career Reengineering Program and Professional Development Workshops","G","Permission of instructor",,,,,,,,Y,,"M. Mccabe",,,
"1.95","Teaching College-Level Science and Engineering","G","",,"5.95[J],7.59[J],8.395[J],18.094[J]",,"2.978",,Y,,,,"J. Rankin",,,
"1.968","Graduate Studies in Civil and Environmental Engineering","G","Permission of instructor",,,,,,Y,Y,Y,Y,,,,
"1.982","Research in Civil and Environmental Engineering","G","",,,,,,Y,,Y,Y,"Fall:  K. Clapper\nSpring:  K. Clapper",,,
"1.984","Teaching Experience in Civil and Environmental Engineering","G","Permission of instructor",,,,,,Y,,Y,,"Fall:  J. Kroll\nSpring:  J. Kroll",,,
"1.999","Undergraduate Studies in Civil and Environmental Engineering","U","",,,,,,Y,,Y,Y,"Fall:  K. Clapper\nSpring:  K. Clapper",,,
"1.EPE","UPOP Engineering Practice Experience","U","2.EPW,permission of instructor",,,,,,Y,,Y,,"Fall:  J. Crim\nSpring:  J. Crim",,,
"1.EPW","UPOP Engineering Practice Workshop","U","",,,,,,Y,Y,,,"Fall:  J. Crim",,,
"1.THG","Graduate Thesis","G","Permission of instructor",,,,,,Y,Y,Y,Y,"Fall:  K. Clapper\nSpring:  K. Clapper",,,
"1.THU","Undergraduate Thesis","U","Permission of instructor",,,,,,Y,Y,Y,Y,"Fall:  K. Clapper\nSpring:  K. Clapper",,,
"1.UR","Research in Civil and Environmental Engineering","U","",,,,,,Y,Y,Y,Y,"Fall:  K. Clapper\nSpring:  K. Clapper",,,
"1.URG","Research in Civil and Environmental Engineering","U","",,,,,,Y,Y,Y,Y,"K. Clapper",,,
"1.S82","Special Problems in Environmental Microbiology and Chemistry","G","Permission of instructor",,,,,,Y,,Y,,"Fall:  K. Clapper\nSpring:  K. Clapper",,,
"1.S977","Special Graduate Subject in Civil and Environmental Engineering","G","Permission of instructor",,,,,,Y,Y,Y,,,,,
"1.S978","Special Graduate Subject in Civil and Environmental Engineering","G","Permission of Instructor",,,,,,Y,Y,Y,,,,,
"1.S979","Special Graduate Subject in Civil and Environmental Engineering","G","Permission of instructor",,,,,,,,Y,,"B. Marelli",,,
"1.S980","Special Graduate Subject in Civil and Environmental Engineering","G","Permission of instructor",,,,,,,,Y,,"H. Hemond",,,
"1.S981","Special Graduate Subject in Civil and Environmental Engineering","G","Permission of Instructor",,,,,,Y,Y,Y,,,,,
"1.S982","Special Graduate Subject in Civil and Environmental Engineering","G","Permission of Instructor",,,,,,Y,Y,Y,,,,,
"1.S991","Special Undergraduate Subject in Civil and Environmental Engineering","U","Permission of instructor",,,,,,Y,Y,Y,,,,,
"1.S992","Special Undergraduate Subject in Civil and Environmental Engineering","U","Permission of instructor",,,,,,,Y,,,"K. Clapper",,,
"1.S993","Special Undergraduate Subject in Civil and Environmental Engineering","U","Permission of instructor",,,,,,Y,Y,Y,,,,,
"2.00A","Fundamentals of Engineering Design: Explore Space, Sea and Earth","U","Physics I GIR;Calculus I GIR",,,,,"2018-2019",,,Y,,"D. Frey",,,
"2.00B","Toy Product Design","U","",,,,,,,,Y,,"D. Wallace",,,
"2.00C","Design for Complex Environmental Issues: Building Solutions and Communicating Ideas","U","",,"1.016[J],EC.746[J]",,,,,,Y,,"A. Epstein",,,
"2.00","Introduction to Design","U","",,,,,,Y,,,,"M. Yang",,,
"2.001","Mechanics and Materials I",,"Physics I GIR","18.03,2.087",,,,,,,,,"Fall:  S. Socrate\nSpring:  S. Socrate",,,
"2.002","Mechanics and Materials II","U","2.001;Chemistry GIR",,,,,,,,Y,,"K. Kamrin",,,
"2.003","Dynamics and Control I",,"Physics II","18.03,2.087","1.053[J]",,,,,,,,"Fall:  T. Sapsis\nSpring:  A. Rodriguez Garcia",,,
"2.004","Dynamics and Control II","U","2.003;Physics II GIR",,,,,,Y,,Y,,"Fall:  F. Hover\nSpring:  K. Youcef-Toumi",,,
"2.005","Thermal-Fluids Engineering I","U","Physics II GIR;Calculus II GIR;2.086,6.0002,18.06;permission of instructor",,,,,,Y,,Y,,"Fall:  P. Lermusiaux\nSpring:  J. Buongiorno",,,
"2.006","Thermal-Fluids Engineering II","U","2.005;2.051,2.06",,,,,,Y,,Y,,"Fall:  R. Karnik\nSpring:  B. Gallant",,,
"2.007","Design and Manufacturing I",,"2.001;2.670","2.086",,,,,,,,,"A. Winter",,,
"2.008","Design and Manufacturing II","U","2.007","2.017;2.005,2.051",,,,,Y,,Y,,"Fall:  A. Hart\nSpring:  J. Chun",,,"LAB2"
"2.009","The Product Engineering Process","U","2.001;2.003;2.005,2.051;2.670,2.678,2.00B",,,,,,Y,,,,"D. Wallace",,,
"2.013","Engineering Systems Design","U","2.001;2.003;2.005,2.051;2.670,2.678,2.00B;permission of instructor",,,,"2.733",,Y,,,,"D. Hart",,,
"2.014","Engineering Systems Development","U","2.001;2.003;2.005,2.051;2.670,2.678,2.00B;permission of instructor",,,,"2.734",,,,Y,,"D. Hart",,,
"2.016","Hydrodynamics","U","2.001",,,,,,Y,,,,"A. Techet",,,
"2.017","Design of Electromechanical Robotic Systems","U","2.003","2.005,2.05,2.051,2.016;2.671","1.015[J]",,,,,,Y,,"N. Triantafyllou",,,"LAB2"
"2.019","Design of Ocean Systems","U","2.001;2.003;2.005,2.016",,,,,,,,Y,,"D. Hart",,,
"2.02A","Engineering Materials: Properties and Applications","U","2.001",,,,,"2017-2018",Y,,,,,,,
"2.04A","Systems and Controls","U","","2.003",,,,,,,Y,,"G. Barbastathis",,,
"2.05","Thermodynamics","U","2.001",,,,,,Y,,,,"C. Buie",,,
"2.051","Introduction to Heat Transfer","U","2.05",,,,,,Y,,,,"A. Patera",,,
"2.06","Fluid Dynamics","U","2.001",,,,,,Y,,Y,,"Fall:  A. Techet\nSpring:  K. Varanasi",,,
"2.086","Numerical Computation for Mechanical Engineers","U","Physics I GIR;Calculus II GIR","18.03,2.087",,,,,Y,,Y,,"Fall:  D. Frey\nSpring:  F. Hover",,,"REST"
"2.087","Engineering Mathematics: Linear Algebra and ODEs","U","Calculus II GIR;Physics I GIR",,,,,,Y,,Y,,"Fall:  T. Peacock\nSpring:  A. Kolpak",,,
"2.032","Dynamics","G","2.003",,,,,,Y,,,,"T. Akylas",,,
"2.033","Nonlinear Dynamics and Turbulence","G","1.060A",,"1.686[J],18.358[J]",,"1.068","2017-2018",,,Y,,,,,
"2.034","Nonlinear Dynamics and Waves","G","Permission of instructor",,"1.685[J],18.377[J]",,,"2018-2019",,,Y,,"R. R. Rosales",,,
"2.036","Nonlinear Dynamics and Chaos","G","18.03,18.032",,"18.385[J]",,,"2017-2018",Y,,,,,,,
"2.050","Nonlinear Dynamics: Chaos","U","18.03,18.032;Physics II GIR",,"12.006[J],18.353[J]",,,,Y,,,,"H. Ronellenfitsch",,,
"2.060","Structural Dynamics","G","18.03,permission of instructor",,"1.581[J],16.221[J]",,"1.058",,Y,,,,"T. Cohen",,,
"2.062","Wave Propagation","G","2.003;18.075",,"1.138[J],18.376[J]",,,"2017-2018",,,Y,,,,,
"2.065","Acoustics and Sensing","U","2.003,6.003,8.03,16.003",,,,"2.066",,,,Y,,"N. Makris",,,
"2.066","Acoustics and Sensing","G","",,,,,,,,Y,,,,,
"2.071","Mechanics of Solid Materials","G","2.002,2.02A",,,,,,,,Y,,"L. Anand",,,
"2.072","Mechanics of Continuous Media","G","2.071",,,,,"2018-2019",Y,,,,"L. Anand",,,
"2.073","Solid Mechanics: Plasticity and Inelastic Deformation","G","2.071",,,,,"2017-2018",Y,,,,,,,
"2.074","Solid Mechanics: Elasticity","G","2.002;18.03",,,,,,Y,,,,"R. Abeyaratne",,,
"2.076","Mechanics of Heterogeneous Materials","G","2.002,3.032,16.20,permission of instructor",,"16.223[J]",,,"2017-2018",Y,,,,,,,
"2.080","Structural Mechanics","G","2.002",,"1.573[J]",,,,Y,,,,"H. Schmidt",,,
"2.081","Plates and Shells: Static and Dynamic Analysis","G","2.071,2.080,permission of instructor",,"16.230[J]",,,,,,Y,,"W. M. van Rees, N. M. Patrikalakis",,,
"2.082","Ship Structural Analysis and Design","G","2.081;2.701",,,,,,,,Y,,"R. Mccord",,,
"2.089","Computational Geometry","G","Permission of instructor",,"1.128[J]",,,,,,Y,,,,,
"2.091","Software and Computation for Simulation","G","1.00,permission of instructor",,"1.124[J]",,,,Y,,,,,,,
"2.092","Finite Element Analysis of Solids and Fluids I","U","2.001;2.003",,,,"2.093","2017-2018",Y,,,,,,,
"2.093","Finite Element Analysis of Solids and Fluids I","G","",,,,,"2017-2018",Y,,,,,,,
"2.096","Introduction to Numerical Simulation","G","18.03,18.06",,"6.336[J],16.910[J]",,,,Y,,,,"L. Daniel",,,
"2.097","Numerical Methods for Partial Differential Equations","G","18.03,18.06",,"6.339[J],16.920[J]",,,,Y,,,,"Q. Wang",,,
