Subject Id,Subject Title,Subject Level,Prerequisites,Corequisites,Joint Subjects,Equivalent Subjects,Meets With Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Instructors,Comm Req Attribute,Hass Attribute,Gir Attribute
"21H.102","American History since 1865","U","",,,,,,,,Y,,"C. Horan","CI-H","HASS-H",
"21H.106","Black Matters:  Introduction to Black Studies","U","",,"24.912[J],21L.008[J],21W.741[J],WGS.190[J]",,,,,,Y,,"M. DeGraff, D. Fox Harrell","CI-H",,
"21H.107","Introduction to Asian American Studies: Historical and Contemporary Issues","U","",,"21G.043[J]",,,"2017-2018",Y,,,,,,"HASS-H",
"21H.108","Sexual and Gender Identities","U","",,"WGS.110[J]",,,,Y,,,,"C. Horan",,"HASS-H",
"21H.130","The Ancient World: Greece","U","",,,,,,Y,,,,"S. Ostrow","CI-H","HASS-H",
"21H.132","The Ancient World: Rome","U","",,,,,"2017-2018",,,Y,,"W. Broadhead","CI-H","HASS-H",
"21H.133","The Medieval World:  CE 200-1500","U","",,,,,,,,Y,,"E. Goldberg",,"HASS-H",
"21H.134","Medieval Economic History in Comparative Perspective","U","",,"14.70[J]",,,,Y,,,,"S. Bobrycki","CI-H","HASS-S",
"21H.141","Renaissance to Revolution: Europe, 1300-1800","U","",,,,,"2017-2018",,,Y,,"J. Ravel","CI-H","HASS-H",
"21H.151","Traditional China:  Earliest Times to 1644","U","",,,,,"2017-2018",,,Y,,"C. Leighton",,"HASS-H",
"21H.152","Modern China:  1644 to the Present","U","",,,,,,,,Y,,"C. Leighton",,"HASS-H",
"21H.154","Inventing the Samurai","U","",,,,,,,,Y,,"H. Nagahara",,"HASS-H",
"21H.155","Modern Japan: 1600 to Present","U","",,,,,"2017-2018",,,Y,,"H. Nagahara",,"HASS-H",
"21H.157","The Making of Modern South Asia","U","",,,,,,Y,,,,"S. Aiyar",,"HASS-S",
"21H.160","Islam, the Middle East, and the West","U","",,,,,,Y,,,,"P. Alimagham",,"HASS-H",
"21H.161","The Middle East in the Twentieth Century","U","",,,,,,,,Y,,"P. Alimagham","CI-H","HASS-H",
"21H.165","A Survey of Modern African History","U","",,,,,,,,Y,,"K. Mutongi",,"HASS-H",
"21H.170","Introduction to Latin American Studies","U","",,"17.55[J],21A.130[J],21G.084[J]",,,,,,Y,,"T. Padilla","CI-H","HASS-S",
"21H.171","Latin America:  Revolution, Dictatorship, and Democracy, 1850 to Present","U","",,,,,,Y,,,,"W. San Martin Aedo",,"HASS-H",
"21H.172","Latin America Through Film","U","",,"21G.078[J]",,,"2017-2018",,,Y,,"T. Padilla",,"HASS-H",
"21H.181","Libertarianism in History","U","",,"17.035[J]",,,,,,Y,,"M. Ghachem",,"HASS-H",
"21H.185","Environment and History","U","",,"12.386[J]",,,,Y,,,,"H. Ritvo, S.Solomon","CI-H","HASS-S",
"21H.201","The American Revolution","U","",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21H.205","The Civil War and the Emergence of Modern America: 1861-1890","U","Permission of instructor",,"STS.027[J]",,"STS.427","2017-2018",Y,,,,,,"HASS-H",
"21H.211","The United States in the Nuclear Age","U","",,,,,"2017-2018",,,Y,,"C. Horan",,"HASS-H",
"21H.213","The War at Home: American Politics and Society in Wartime","U","",,"17.28[J]",,,"2017-2018",,,Y,,,,"HASS-S",
"21H.214","War and American Society","U","",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21H.217","American Urban History","U","",,"11.013[J]",,,,Y,,,,"R. Fogelson","CI-H","HASS-H",
"21H.218","History of the Built Environment in the US","U","",,"11.014[J]",,,,Y,,,,"R. Fogelson","CI-H","HASS-H",
"21H.220","Metropolis: A Comparative History of New York City","U","",,"11.150[J]",,,"2017-2018",Y,,,,,,"HASS-H",
"21H.226","Riots, Strikes, and Conspiracies in American History","U","",,"11.015[J]",,,,,,Y,,,"CI-H","HASS-H",
"21H.227","Constitutional Law in US History","U","",,,,,,Y,,,,"C. Capozzola",,"HASS-S",
"21H.228","American Classics","U","",,,,,,Y,,,,,"CI-H","HASS-H",
"21H.229","The Black Radical Tradition in America","U","",,,,,,,,Y,,,,"HASS-H",
"21H.230","Barbarians, Saints, and Emperors","U","",,,,,,,,Y,,"E. Goldberg",,"HASS-H",
"21H.237","The City of Athens in the Age of Pericles","U","",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21H.238","The Vikings","U","",,,,,,Y,,,,"E. Goldberg",,"HASS-H",
"21H.239","The City of Rome in the Age of the Caesars","U","",,,,,,Y,,,,"W. Broadhead",,"HASS-H",
"21H.240","The World of Charlemagne","U","",,,,,"2017-2018",Y,,,,,"CI-H","HASS-H",
"21H.241","France: Enlightenment and Revolution","U","",,"21G.054[J]",,,,Y,,,,,,"HASS-H",
"21H.242","Frenchness in an Era of Globalization","U","One intermediate subject in French,permission of instructor",,"21G.322[J]",,,"2017-2018",Y,,,,,,"HASS-H",
"21H.244","Imperial and Revolutionary Russia: Culture and Politics, 1700-1917","U","",,"21G.085[J]",,,,Y,,,,"E. Wood",,"HASS-H",
"21H.245","Soviet and Post-Soviet Politics and Society: 1917 to the Present","U","",,"17.57[J],21G.086[J]",,,"2017-2018",,,Y,,"E. Wood","CI-H","HASS-S",
"21H.253","The Global Chinese: Chinese Migration, 1567-Present","U","",,"21G.075[J]",,"21G.196",,Y,,,,,,"HASS-H",
"21H.260","Cities in the Middle East: History, Politics and Society","U","",,,,,,Y,,,,,,"HASS-S",
"21H.262","Palestine and the Arab-Israeli Conflict","U","",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21H.263","Women and Gender in the Middle East and North Africa","U","",,"WGS.220[J]",,,,,,Y,,"L. Ekmekcioglu",,"HASS-H",
"21H.273","From Coca to Cocaine: Drug Economies in Latin America","U","",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21H.274","Creation of a Continent: Representations of Hispanic America, 1492-1898, in Literature and Film","U","One intermediate Spanish subject,permission of instructor",,"21G.731[J]",,,"2018-2019",,,Y,,"L. Ewald",,"HASS-H",
"21H.285","Making the Modern World: The Industrial Revolution in Global Perspective","U","",,"STS.025[J]",,,"2017-2018",,,Y,,,,"HASS-H",
"21H.315","American Consumer Culture","U","",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21H.319","Race, Crime, and Citizenship in American Law","U","",,,,,,,,Y,,"M. Ghachem",,"HASS-S",
"21H.320","Gender and the Law in US History","U","",,"WGS.161[J]",,,"2017-2018",Y,,,,,,"HASS-H",
"21H.321","Downtown","U","",,"11.026[J]",,"11.339",,,,Y,,"R. Fogelson",,"HASS-H",
"21H.322","Christianity in America","U","",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21H.331","Julius Caesar and the Fall of the Roman Republic","U","",,,,,,Y,,,,"W. Broadhead",,"HASS-H",
"21H.333","Early Christianity","U","",,,,,,Y,,,,"E. Goldberg",,"HASS-H",
"21H.336","The Making of a Roman Emperor","U","",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21H.343","Making Books in the Renaissance and Today","U","",,"CC.120[J]",,,,Y,,,,"J. Ravel",,"HASS-A",
"21H.350","Business in China Since 1800","U","",,,,,"2018-2019",,,Y,,"C. Leighton",,"HASS-H",
"21H.351","Shanghai and China's Modernization","U","",,"11.153[J]",,,"2017-2018",Y,,,,,,"HASS-H",
"21H.354","World War II in Asia","U","",,,,,,,,Y,,"H. Nagahara",,"HASS-H",
"21H.357","South Asian Migrations","U","",,,,,,,,Y,,"S. Aiyar",,"HASS-H",
"21H.358","Colonialism in South Asia and Africa","U","",,,,"21H.958",,Y,,,,"S. Aiyar",,"HASS-H",
"21H.365","Minorities and Majorities in the Middle East","U","",,,,,,,,Y,,"L. Ekmekcioglu",,"HASS-H",
"21H.380","People and Other Animals","U","",,"21A.411[J]",,"21A.419[J],21H.980[J]","2017-2018",Y,,,,,,"HASS-S",
"21H.381","Women and War","U","",,"WGS.222[J]",,,,Y,,,,"L. Ekmekcioglu",,"HASS-S",
"21H.382","Capitalism in the Age of Revolution","U","",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21H.383","Technology and the Global Economy, 1000-2000","U","",,,,"21H.982",,,,Y,,"A. Mc Cants",,"HASS-S",
"21H.385","The Ghetto:  From Venice to Harlem","U","",,"11.152[J]",,,,,,Y,,"C. Wilder",,"HASS-S",
"21H.390","Theories and Methods in the Study of History","U","Two History subjects,permission of instructor",,,,"21H.991",,Y,,,,"C. Capozzola",,"HASS-H",
"21H.391","Undergraduate Independent Study","U","",,,,,,Y,Y,,,"Fall:  J. Ravel",,,
"21H.392","Undergraduate Independent Study","U","",,,,,,,,Y,,"J. Ravel",,,
"21H.S01","Special Subject: History","U","Permission of instructor",,,,,,Y,,Y,,"Fall:  C. Wilder\nSpring:  C. Wilder",,,
"21H.S02","Special Subject: History","U","Permission of instructor",,,,,,Y,,Y,,,,,
"21H.S03","Special Subject: History","U","",,,,,,Y,Y,Y,,"Fall:  J. Ravel\nSpring:  J. Ravel",,,
"21H.THT","History Pre-Thesis Tutorial","U","",,,,,,Y,,Y,,"Fall:  J. Ravel\nSpring:  J. Ravel",,,
"21H.THU","History Thesis","U","21H.THT",,,,,,Y,,Y,,"Fall:  J. Ravel\nSpring:  J. Ravel",,,
"21H.UR","Undergraduate Research","U","",,,,,,Y,Y,Y,Y,,,,
"21H.URG","Undergraduate Research","G","",,,,,,Y,Y,Y,Y,,,,
"21H.902","Reading Seminar in American History: 1877 to Present","G","21H.991;permission of instructor",,,,,"2017-2018",,,Y,,,,,
"21H.958","Colonialism in South Asia and Africa","G","",,,,"21H.358",,Y,,,,,,,
"21H.980","People and Other Animals","G","",,"21A.419[J]",,"21A.411[J],21H.380[J]","2017-2018",Y,,,,,,,
"21H.981","Seminar in Nature, Environment, and Empire","G","",,,,,"2017-2018",Y,,,,,,,
"21H.982","Technology and the Global Economy, 1000-2000","G","",,,,"21H.383",,,,Y,,,,,
"21H.983","Gender","G","",,,,,"2017-2018",,,Y,,,,,
"21H.991","Theories and Methods in the Study of History","G","Permission of instructor",,,,"21H.390",,Y,,,,"C. Capozzola",,,
"21H.992","Graduate Independent Study","G","Permission of instructor",,,,,,Y,,Y,,,,,
"21H.993","Graduate Independent Study","G","Permission of instructor",,,,,,Y,,Y,,,,,
"21H.999","Teaching History","G","",,,,,,Y,,Y,,"Fall:  J. Ravel\nSpring:  J. Ravel",,,
"21L.000","Writing About Literature","U","",,"21W.041[J]",,,"2017-2018",Y,,,,,"CI-HW","HASS-H",
"21L.001","Foundations of Western Literature: Homer to Dante","U","",,,,,,,,Y,,"S. Frampton","CI-H","HASS-H",
"21L.002","Foundations of Western Literature: From Shakespeare to the Present","U","",,,,,"2017-2018",,,Y,,,"CI-H","HASS-H",
"21L.003","Reading Fiction","U","",,,,,,Y,,,,"D. Thorburn","CI-H","HASS-H",
"21L.004","Reading Poetry","U","",,,,,,Y,,Y,,"Fall:  S. Tapscott","CI-H","HASS-H",
"21L.005","Introduction to Drama","U","",,,,,,Y,,Y,,"Fall:  A. Fleche\nSpring:  D. Henderson","CI-H","HASS-A",
"21L.006","American Literature","U","",,,,,,Y,,,,"W. Kelley","CI-H","HASS-H",
"21L.007","World Literatures","U","",,,,,,,,Y,,"J. Terrones","CI-H","HASS-H",
"21L.008","Black Matters:  Introduction to Black Studies","U","",,"24.912[J],21H.106[J],21W.741[J],WGS.190[J]",,,,,,Y,,"M. DeGraff, D. Fox Harrell","CI-H",,
"21L.009","Shakespeare","U","",,,,,,Y,,Y,,"Fall:  S. Raman\nSpring:  P. Donaldson","CI-H","HASS-H",
"21L.010","Writing with Shakespeare","U","",,"21W.042[J]",,,,Y,,,,"D. Henderson","CI-HW","HASS-H",
"21L.011","The Film Experience","U","",,,,,,Y,,Y,,"Fall:  E. Brinkema\nSpring:  D. Thorburn","CI-H","HASS-A",
"21L.012","Forms of Western Narrative","U","",,,,,"2017-2018",Y,,,,,"CI-H","HASS-H",
"21L.013","The Supernatural in Music, Literature and Culture","U","",,"21M.013[J]",,,,Y,,,,"C. Shadle","CI-H",,
"21L.014","Empire: Introduction to Ancient and Medieval Studies","U","",,"21H.007[J]",,,,,,Y,,,"CI-H","HASS-H",
"21L.015","Children's Literature","U","",,,,,,Y,,,,"M. Gubar","CI-H","HASS-H",
"21L.017","The Art of the Probable","U","",,,,,"2017-2018",,,Y,,,"CI-H","HASS-H",
"21L.018","Introduction to English Literature","U","",,,,,"2017-2018",Y,,,,,"CI-H","HASS-H",
"21L.019","Introduction to European and Latin American Fiction","U","",,,,,"2017-2018",,,Y,,,"CI-H","HASS-H",
"21L.020","Globalization:  The Good, the Bad and the In-Between","U","",,"WGS.145[J]",,,,Y,,,,"M. Resnick","CI-H","HASS-H",
"21L.021","Comedy","U","",,,,,,Y,,,,"P. Donaldson","CI-H","HASS-H",
"21L.022","Darwin and Design","U","",,"21W.739[J]",,,"2017-2018",Y,,,,,"CI-H","HASS-H",
"21L.023","Folk Music of the British Isles and North America","U","",,"21M.223[J]",,,,Y,,,,"R. Perry","CI-H","HASS-A",
"21L.024","Literature and Existentialism","U","",,,,,,Y,,,,"E. Brinkema","CI-H","HASS-H",
"21L.310","Bestsellers","U","",,,,,,,,Y,,"W. Kelley",,,
"21L.315","Prizewinners","U","",,,,,"2017-2018",,,Y,,,,,
"21L.320","Big Books","U","",,,,,,Y,,,,"N. Jackson",,,
"21L.325","Small Wonders","U","",,,,,,,,Y,,"W. Kelley",,,
"21L.338","Reading in the Original","U","Permission of instructor",,,,,,,,Y,,"S. Frampton",,,
"21L.340","Pleasures of Poetry","U","Permission of instructor",,,,,,,Y,,,,,,
"21L.345","On the Screen","U","Permission of instructor",,,,,"2017-2018",Y,,,,,,,
"21L.350","Science and Literature","U","",,,,,,Y,,,,"N. Jackson",,,
"21L.355","Literature in the Digital Age","U","",,,,,"2017-2018",,,Y,,,,,
"21L.430","Popular Culture and Narrative","U","",,,,"CMS.920",,,,Y,,"W. Donaldson",,"HASS-H",
"21L.431","Shakespeare on Film and Media","U","",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21L.432","Understanding Television","U","One subject in Literature,Comparative Media Studies",,,,"CMS.915","2017-2018",,,Y,,,,"HASS-H",
"21L.433","Film Styles and Genres","U","21L.011,permission of instructor",,,,,,Y,,,,"A. Fleche",,"HASS-H",
"21L.434","Science Fiction and Fantasy","U","",,,,,,Y,,,,"A. Bahr",,"HASS-H",
"21L.435","Literature and Film","U","One subject in Literature,Comparative Media Studies",,,,"CMS.840",,,,Y,,"A. Fleche",,"HASS-H",
"21L.449","The Wilds of Literature","U","",,,,,,,,Y,,"M. Gubar",,"HASS-H",
"21L.451","Literary Theory","U","",,,,,,Y,,,,"S. Raman",,"HASS-H",
"21L.455","Ancient Authors","U","",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21L.458","The Bible","U","",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21L.460","Arthurian Literature","U","",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21L.471","Major Novels","U","One subject in Literature",,,,,"2017-2018",Y,,,,,,"HASS-H",
"21L.473","Jane Austen","U","One subject in Literature",,"WGS.240[J]",,,,Y,,,,"R. Perry",,"HASS-H",
"21L.475","Enlightenment and Modernity","U","One subject in Literature",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21L.480","Identities and Intersections: Queer Literatures","U","",,"WGS.245[J]",,,,Y,,,,"J. Terrones",,"HASS-H",
"21L.485","Modern Fiction","U","One subject in Literature",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21L.486","Modern Drama","U","One subject in Literature",,,,,"2017-2018",,,Y,,,,"HASS-A",
"21L.487","Modern Poetry","U","One subject in Literature",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21L.488","Contemporary Literature","U","One subject in Literature",,,,,,,,Y,,"A. Abramson",,"HASS-H",
"21L.489","Interactive Narrative","U","",,"21W.765[J],CMS.618[J]",,"CMS.845",,Y,,,,"N. Montfort",,"HASS-A",
"21L.490","Introduction to the Classics of Russian Literature","U","",,"21G.077[J]",,"21G.618",,,,Y,,"M. Khotimsky",,"HASS-H",
"21L.006","American Literature","U","",,,,,,Y,,,,"W. Kelley","CI-H","HASS-H",
"21L.501","The American Novel","U","Permission of instructor",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21L.504","Race and Identity in American Literature","U","Permission of instructor",,"WGS.140[J]",,,,,,Y,,"J. Terrones",,"HASS-H",
